Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Mercedes-Benz,E 200, 2009,Алматы,седан,1.8 (бензин),178 000 км,типтроник,слева,синий металлик,задний привод,Да,6 900 000 ₸,6 367 000,,,,
Lexus,RX 300, 2020,Алматы,кроссовер,2 (бензин),,автомат,слева,белый металлик,полный привод,Да,28 200 000 ₸,26 620 000,,,,
Mitsubishi,Space Wagon, 1999,Жезказган,седан,2.4 (бензин),,механика,слева,синий металлик,передний привод,Да,2 100 000 ₸,2 521 000,,Jmblnn84*xz****69,,
ВАЗ (Lada),2121 Нива, 2020,Усть-Каменогорск,внедорожник,1.7 (бензин),920 км,механика,слева,черный металлик,полный привод,Да,5 300 000 ₸,4 653 000,,,,
Mercedes-Benz,E 350, 2006,Алматы,седан,3.5 (бензин),350 000 км,автомат,слева,серый металлик,задний привод,Да,3 300 000 ₸,4 650 000,,,,
Hyundai,Starex, 2019,Шымкент,микроавтобус,2.5 (дизель),78 000 км,типтроник,слева,фиолетовый металлик,передний привод,Да,11 500 000 ₸,14 858 000,,,,
Mercedes-Benz,GL 400, 2014,Нур-Султан (Астана),внедорожник,3 (бензин),57 000 км,автомат,слева,белый металлик,полный привод,Да,19 700 000 ₸,19 883 000,,,,
Toyota,Yaris, 2007,Костанай,хэтчбек,1.3 (бензин),143 820 км,типтроник,слева,синий,передний привод,Да,3 000 000 ₸,3 346 000,,,,
Kia,Optima, 2014,Нур-Султан (Астана),седан,2.4 (бензин),107 000 км,автомат,слева,белый,передний привод,Да,8 300 000 ₸,7 732 000,,,,
Mercedes-Benz,Sprinter, 2010,Алматы,фургон,2.2 (дизель),315 200 км,механика,слева,белый металлик,задний привод,Да,8 500 000 ₸,7 922 000,,,,
Toyota,Estima, 2008,Тараз,минивэн,2.4 (бензин),250 000 км,автомат,справа,серебристый металлик,передний привод,Нет,3 000 000 ₸,5 950 000,,Qwertyui*pg****ty,,
ВАЗ (Lada),2172 (хэтчбек), 2013,Костанай,хэтчбек,1.6 (бензин),218 000 км,механика,слева,белый,передний привод,Да,2 000 000 ₸,1 947 000,,,,
Daewoo,Nexia, 2012,Кызылорда,седан,1.6 (бензин),116 690 км,механика,слева,золотистый металлик,передний привод,Да,1 550 000 ₸,1 679 000,,,,
Lexus,LX 570, 2016,Алматы,внедорожник,5.7 (бензин),62 000 км,автомат,слева,черный металлик,полный привод,Да,33 000 000 ₸,37 479 000,,,,
Hyundai,Accent, 2015,Алматы,седан,1.6 (бензин),89 000 км,автомат,слева,черный металлик,передний привод,Да,4 650 000 ₸,4 696 000,,,,
Toyota,Highlander, 2003,Тараз,кроссовер,3 (бензин),195 000 км,автомат,слева,черный металлик,полный привод,Да,5 500 000 ₸,5 819 000,,,,
Mercedes-Benz,Sprinter, 1997,Алматы,фургон,2.9 (дизель),730 000 км,механика,слева,белый,задний привод,Да,3 700 000 ₸,3 115 000,,,,
Volkswagen,Passat, 1993,Нур-Султан (Астана),универсал,1.9 (дизель),,механика,слева,синий металлик,передний привод,Да,1 000 000 ₸,1 242 000,,,,
Mercedes-Benz,S 550, 2007,Шымкент,седан,5.5 (бензин),209 000 км,типтроник,слева,черный металлик,задний привод,Да,7 500 000 ₸,6 525 000,,,,
Nissan,X-Trail, 2008,Костанай,внедорожник,2.5 (бензин),122 000 км,автомат,слева,серый металлик,полный привод,Нет,3 900 000 ₸,5 533 000,,,,
Lexus,RX 330, 2006,Петропавловск,кроссовер,3.3 (бензин),271 км,автомат,слева,белый,полный привод,Да,7 500 000 ₸,7 350 000,,,,
BMW,530, 2005,Алматы,седан,3 (бензин),212 000 км,автомат,слева,серый,задний привод,Да,4 200 000 ₸,4 300 000,,,,
